Input.image_url,Answer.Tag1,gender,age,city,id
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5c177f5e5dbc11e394621291a239cfe7_5.jpg,F18,F,18,bangkok,5c177f5e5dbc11e394621291a239cfe7_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5c177f5e5dbc11e394621291a239cfe7_5.jpg,f14,F,14,bangkok,5c177f5e5dbc11e394621291a239cfe7_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5c177f5e5dbc11e394621291a239cfe7_5.jpg,F18,F,18,bangkok,5c177f5e5dbc11e394621291a239cfe7_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5c4055d460bc11e3ae6412cc2052207c_5.jpg,F24,F,24,bangkok,5c4055d460bc11e3ae6412cc2052207c_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5c4055d460bc11e3ae6412cc2052207c_5.jpg,f22,F,22,bangkok,5c4055d460bc11e3ae6412cc2052207c_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5c4055d460bc11e3ae6412cc2052207c_5.jpg,f16,F,16,bangkok,5c4055d460bc11e3ae6412cc2052207c_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5ca0abca5e9e11e396330ee9b50dfb29_5.jpg,f18,F,18,bangkok,5ca0abca5e9e11e396330ee9b50dfb29_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5ca0abca5e9e11e396330ee9b50dfb29_5.jpg,M17,M,17,bangkok,5ca0abca5e9e11e396330ee9b50dfb29_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5ca0abca5e9e11e396330ee9b50dfb29_5.jpg,m18,M,18,bangkok,5ca0abca5e9e11e396330ee9b50dfb29_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5cb22aac601b11e38b8f12030b12c9da_5.jpg,m23,M,23,bangkok,5cb22aac601b11e38b8f12030b12c9da_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5cb22aac601b11e38b8f12030b12c9da_5.jpg,M24,M,24,bangkok,5cb22aac601b11e38b8f12030b12c9da_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5cb22aac601b11e38b8f12030b12c9da_5.jpg,m21,M,21,bangkok,5cb22aac601b11e38b8f12030b12c9da_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d48b3825de611e3affa12769b9f7a8f_5.jpg,F24,F,24,bangkok,5d48b3825de611e3affa12769b9f7a8f_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d48b3825de611e3affa12769b9f7a8f_5.jpg,f26,F,26,bangkok,5d48b3825de611e3affa12769b9f7a8f_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d48b3825de611e3affa12769b9f7a8f_5.jpg,F27,F,27,bangkok,5d48b3825de611e3affa12769b9f7a8f_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d553d2660a911e3a0b11203d828c6cf_5.jpg,F22,F,22,bangkok,5d553d2660a911e3a0b11203d828c6cf_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d553d2660a911e3a0b11203d828c6cf_5.jpg,f18,F,18,bangkok,5d553d2660a911e3a0b11203d828c6cf_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d553d2660a911e3a0b11203d828c6cf_5.jpg,F25,F,25,bangkok,5d553d2660a911e3a0b11203d828c6cf_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d576e4c5f3311e3b11a12f2bc0fbd78_5.jpg,m22,M,22,bangkok,5d576e4c5f3311e3b11a12f2bc0fbd78_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d576e4c5f3311e3b11a12f2bc0fbd78_5.jpg,M18,M,18,bangkok,5d576e4c5f3311e3b11a12f2bc0fbd78_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d576e4c5f3311e3b11a12f2bc0fbd78_5.jpg,M21,M,21,bangkok,5d576e4c5f3311e3b11a12f2bc0fbd78_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d6fe43e60de11e3b29f1259ac8f2131_5.jpg,F21,F,21,bangkok,5d6fe43e60de11e3b29f1259ac8f2131_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d6fe43e60de11e3b29f1259ac8f2131_5.jpg,M18,M,18,bangkok,5d6fe43e60de11e3b29f1259ac8f2131_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5d6fe43e60de11e3b29f1259ac8f2131_5.jpg,m19,M,19,bangkok,5d6fe43e60de11e3b29f1259ac8f2131_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5da06780610b11e38d5b123cfa34abb1_5.jpg,F21,F,21,bangkok,5da06780610b11e38d5b123cfa34abb1_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5da06780610b11e38d5b123cfa34abb1_5.jpg,f16,F,16,bangkok,5da06780610b11e38d5b123cfa34abb1_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5da06780610b11e38d5b123cfa34abb1_5.jpg,F17,F,17,bangkok,5da06780610b11e38d5b123cfa34abb1_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/berlin/124a26565f8811e38f2212e629be4d7c_5.jpg,M10,M,10,berlin,124a26565f8811e38f2212e629be4d7c_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/berlin/124a26565f8811e38f2212e629be4d7c_5.jpg,M8,M,8,berlin,124a26565f8811e38f2212e629be4d7c_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/berlin/124a26565f8811e38f2212e629be4d7c_5.jpg,m13,M,13,berlin,124a26565f8811e38f2212e629be4d7c_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5e7efca45fe211e39516120a11bdc3c5_5.jpg,F23,F,23,bangkok,5e7efca45fe211e39516120a11bdc3c5_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5e7efca45fe211e39516120a11bdc3c5_5.jpg,F18,F,18,bangkok,5e7efca45fe211e39516120a11bdc3c5_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5e7efca45fe211e39516120a11bdc3c5_5.jpg,F18,F,18,bangkok,5e7efca45fe211e39516120a11bdc3c5_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/ny/84b22262624d11e39534125f71deab39_5.jpg,M15,M,15,ny,84b22262624d11e39534125f71deab39_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/ny/84b22262624d11e39534125f71deab39_5.jpg,m19,M,19,ny,84b22262624d11e39534125f71deab39_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/ny/84b22262624d11e39534125f71deab39_5.jpg,M22,M,22,ny,84b22262624d11e39534125f71deab39_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/2e8c2f585ffb11e3b2e91251caec0405_5.jpg,F26,F,26,bangkok,2e8c2f585ffb11e3b2e91251caec0405_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/2e8c2f585ffb11e3b2e91251caec0405_5.jpg,F20,F,20,bangkok,2e8c2f585ffb11e3b2e91251caec0405_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/2e8c2f585ffb11e3b2e91251caec0405_5.jpg,f23,F,23,bangkok,2e8c2f585ffb11e3b2e91251caec0405_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5e8b27f45dcb11e3b7f812595175ceb2_5.jpg,F23,F,23,bangkok,5e8b27f45dcb11e3b7f812595175ceb2_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5e8b27f45dcb11e3b7f812595175ceb2_5.jpg,F16,F,16,bangkok,5e8b27f45dcb11e3b7f812595175ceb2_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/bangkok/5e8b27f45dcb11e3b7f812595175ceb2_5.jpg,f17,F,17,bangkok,5e8b27f45dcb11e3b7f812595175ceb2_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/ny/84e319d25dff11e39264128ba2e31fd7_5.jpg,f24,F,24,ny,84e319d25dff11e39264128ba2e31fd7_5.jpg
http://neen.ucsd.edu/Gnip_Instagram_data/MT/top1k/ny/84e319d25dff11e39264128ba2e31fd7_5.jpg,f25,F,25,ny,84e319d25dff11e39264128ba2e31fd7_5.jpg
