City,Gender,Age Group,Number of Images in Age Group,Number of Selfies in City,rate
Bangkok,Female,13-17,80,762,0.104986877
Berlin,Female,13-17,20,645,0.031007752
Moscow,Female,13-17,19,914,0.020787746
New York,Female,13-17,18,909,0.01980198
Sao Paulo,Female,13-17,50,971,0.051493306
Tokyo,Female,13-17,29,311,0.093247588
Bangkok,Male,13-17,19,762,0.024934383
Berlin,Male,13-17,13,645,0.020155039
Moscow,Male,13-17,13,914,0.014223195
New York,Male,13-17,12,909,0.01320132
Sao Paulo,Male,13-17,17,971,0.017507724
Tokyo,Male,13-17,8,311,0.025723473
Bangkok,Female,18-24,298,762,0.391076115
Berlin,Female,18-24,212,645,0.328682171
Moscow,Female,18-24,432,914,0.472647702
New York,Female,18-24,291,909,0.320132013
Sao Paulo,Female,18-24,372,971,0.383110196
Tokyo,Female,18-24,126,311,0.405144695
Bangkok,Male,18-24,193,762,0.25328084
Berlin,Male,18-24,69,645,0.106976744
Moscow,Male,18-24,58,914,0.06345733
New York,Male,18-24,100,909,0.110011001
Sao Paulo,Male,18-24,144,971,0.148300721
Tokyo,Male,18-24,41,311,0.131832797
Bangkok,Female,25-32,60,762,0.078740157
Berlin,Female,25-32,134,645,0.207751938
Moscow,Female,25-32,272,914,0.297592998
New York,Female,25-32,222,909,0.244224422
Sao Paulo,Female,25-32,150,971,0.154479918
Tokyo,Female,25-32,41,311,0.131832797
Bangkok,Male,25-32,85,762,0.111548556
Berlin,Male,25-32,125,645,0.19379845
Moscow,Male,25-32,74,914,0.080962801
New York,Male,25-32,150,909,0.165016502
Sao Paulo,Male,25-32,142,971,0.146240989
Tokyo,Male,25-32,41,311,0.131832797
Bangkok,Female,Over 32,4,762,0.005249344
Berlin,Female,Over 32,29,645,0.04496124
Moscow,Female,Over 32,22,914,0.024070022
New York,Female,Over 32,44,909,0.04840484
Sao Paulo,Female,Over 32,35,971,0.036045314
Tokyo,Female,Over 32,8,311,0.025723473
Bangkok,Male,Over 32,22,762,0.028871391
Berlin,Male,Over 32,36,645,0.055813953
Moscow,Male,Over 32,18,914,0.019693654
New York,Male,Over 32,60,909,0.066006601
Sao Paulo,Male,Over 32,54,971,0.05561277
Tokyo,Male,Over 32,14,311,0.045016077
Bangkok,Female,Under 13,1,762,0.001312336
Berlin,Female,Under 13,2,645,0.003100775
Moscow,Female,Under 13,6,914,0.006564551
New York,Female,Under 13,8,909,0.00880088
Sao Paulo,Female,Under 13,3,971,0.003089598
Tokyo,Female,Under 13,2,311,0.006430868
Berlin,Male,Under 13,5,645,0.007751938
New York,Male,Under 13,4,909,0.00440044
Sao Paulo,Male,Under 13,4,971,0.004119464
Tokyo,Male,Under 13,1,311,0.003215434
